CHSA_Name,Facility,HA,Haversine Dist (km),Street distance (km),Haversine Duration,Street duration,Difference - Dist,Difference - Duration,Within 10km
Mackenzie,Mackenzie and District Hospital and Health Centre,Northern,202.72,302.37,202.72,429.58,99.65,226.86,No
Maple Ridge Rural,Eagle Ridge Hospital,Fraser,36.61,174.42,36.61,387.63,137.81,351.02,No
Snow Country,Stewart Health Centre,Northern,45.29,157.67,45.29,271.2,112.38,225.91,No
North Coquitlam,Eagle Ridge Hospital,Fraser,18.82,98.57,18.82,266.27,79.75,247.46,No
North Mission,Mission Memorial Hospital,Fraser,29.76,44.62,29.76,257.46,14.87,227.7,No
Fort St. James North,Lakes District Hospital and Health Centre,Northern,120.51,145.8,120.51,217.87,25.29,97.36,No
Agassiz/Harrison,Chilliwack General Hospital,Fraser,60.4,110.54,60.4,213.49,50.14,153.09,No
qathet Rural,Powell River General Hospital,Vancouver Coastal,49.36,82.97,49.36,197.11,33.62,147.75,No
Pemberton,Whistler Health Care Centre,Vancouver Coastal,20.87,36.92,20.87,191.06,16.05,170.18,No
West Cariboo,Alexis Creek Health Centre,Interior,44.24,81.27,44.24,186.5,37.02,142.25,No
Telegraph Creek,Stikine Health Centre,Northern,112.62,153.04,112.62,179.76,40.42,67.14,No
West Coast,Tofino General Hospital,Vancouver Island,17.79,67.88,17.79,178.41,50.1,160.62,No
Revelstoke,Queen Victoria Hospital and Health Centre,Interior,45.92,103.22,45.92,169.24,57.3,123.32,No
Prince George North Fraser Rural,University Hospital of Northern British Columbia,Northern,61.55,102.12,61.55,148.93,40.57,87.38,No
Kimberley,East Kootenay Regional Hospital,Interior,39.32,65.66,39.32,144.14,26.34,104.82,No
Houston,Bulkley Valley District Hospital,Northern,70.48,113.36,70.48,139.14,42.88,68.66,No
Nisga'a,Mills Memorial Hospital,Northern,89.1,117.81,89.1,137.1,28.71,48,No
Cowichan Valley West,Cowichan District Hospital,Vancouver Island,44.55,64.58,44.55,136.11,20.03,91.56,No
Juan de Fuca Coast,Cowichan District Hospital,Vancouver Island,35.08,70.26,35.08,133.19,35.18,98.11,No
Peace River North Rural,Hudson's Hope Health Centre,Northern,126.31,165.12,126.31,129.67,38.82,3.36,No
North Thompson,Dr. Helmcken Memorial Hospital,Interior,58.79,113.6,58.79,126.55,54.81,67.75,No
Kettle Valley,Penticton Regional Hospital,Interior,46.56,115.96,46.56,124.6,69.39,78.04,No
South Cariboo,Lillooet Hospital and Health Centre,Interior,21.61,56.27,21.61,123.58,34.65,101.97,No
Enderby,Shuswap Lake General Hospital,Interior,35.98,62.35,35.98,117.67,26.37,81.69,No
Burns Lake South,Lakes District Hospital and Health Centre,Northern,78.93,74.8,78.93,115.57,-4.14,36.64,Yes
Castlegar,Castlegar and District Community Health Centre,Interior,23.93,40.85,23.93,110.56,16.92,86.63,No
Sunshine Coast Rural,Sechelt Hospital,Vancouver Coastal,41.25,61.42,41.25,109.73,20.17,68.48,No
Williams Lake/East Cariboo,Cariboo Memorial Hospital and Health Centre,Interior,60.08,73.81,60.08,104.78,13.73,44.7,No
Alberni Valley/Bamfield,West Coast General Hospital,Vancouver Island,20.69,40.45,20.69,104.52,19.76,83.83,No
Lillooet,Lillooet Hospital and Health Centre,Interior,44.51,75.99,44.51,101.75,31.48,57.24,No
Kitimat,Kitimat General Hospital and Health Centre,Northern,63.58,27.78,63.58,98.32,-35.8,34.74,No
Campbell River Rural,North Island Hospital Campbell River and District,Vancouver Island,57.72,63.86,57.72,94.5,6.14,36.78,Yes
Grand Forks,Boundary District Hospital,Interior,35.79,39.93,35.79,94.01,4.14,58.22,Yes
Burns Lake North,Lakes District Hospital and Health Centre,Northern,35.66,39.32,35.66,92.07,3.67,56.41,Yes
Terrace Rural,Mills Memorial Hospital,Northern,26.26,45.5,26.26,88.79,19.24,62.53,No
Haida Gwaii North,Northern Haida Gwaii Hospital and Health Centre,Northern,29.71,64.45,29.71,86.77,34.74,57.06,No
Northern Boreal,Fort Nelson General Hospital,Northern,62.32,82.55,62.32,83.81,20.23,21.49,No
Ladysmith Rural,Nanaimo Regional General Hospital,Vancouver Island,22.92,41.1,22.92,81.09,18.19,58.17,No
Vanderhoof Rural,St. John Hospital,Northern,23.15,34.88,23.15,72.53,11.73,49.38,No
South Chilliwack,Chilliwack General Hospital,Fraser,21.11,34.1,21.11,71.23,12.99,50.12,No
Vancouver Island North Remote,Cormorant Island Community Health Centre,Vancouver Island,50.16,27.24,50.16,71.15,-22.92,20.99,No
Prince George Southwest Rural,University Hospital of Northern British Columbia,Northern,33.66,38.91,33.66,69.29,5.25,35.63,Yes
Nanaimo West/Rural,Nanaimo Regional General Hospital,Vancouver Island,23.53,40.23,23.53,68.95,16.7,45.42,No
Golden,Golden and District Hospital,Interior,42.56,47.04,42.56,67.29,4.48,24.73,Yes
Penelakut and Thetis Islands,Lady Minto/Gulf Islands Hospital,Vancouver Island,21.67,32.92,21.67,67.02,11.26,45.35,No
Keremeos,South Similkameen Health Centre,Interior,15.05,23.08,15.05,64.83,8.03,49.77,Yes
North Okanagan/Lumby,Vernon Jubilee Hospital,Interior,37.02,48.15,37.02,63.81,11.13,26.79,No
Pender/Galiano/Saturna/Mayne,Lady Minto/Gulf Islands Hospital,Vancouver Island,14.81,23.22,14.81,57.09,8.41,42.28,Yes
Tumbler Ridge,Tumbler Ridge Health Centre,Northern,12.46,29.84,12.46,56.85,17.38,44.39,No
North Vancouver DM - East,Lions Gate Hospital,Vancouver Coastal,14.64,14.85,14.64,54.97,0.22,40.34,Yes
Kootenay Lake,Victorian Community Health Centre,Interior,42.67,47.04,42.67,51.4,4.36,8.73,Yes
Lower Thompson,Barriere Health Centre,Interior,19.79,27.75,19.79,49.8,7.96,30.01,Yes
Merritt,Nicola Valley Hospital and Health Centre,Interior,16.3,32.43,16.3,47.55,16.14,31.25,No
Peace River South Rural,Tumbler Ridge Health Centre,Northern,28.9,48.37,28.9,45.37,19.48,16.47,No
Summerland,Penticton Regional Hospital,Interior,25.64,35.51,25.64,44.15,9.87,18.52,Yes
McBride,McBride and District Hospital,Northern,36.77,45.12,36.77,43.78,8.35,7.01,Yes
Valemount,McBride and District Hospital,Northern,36.77,45.12,36.77,43.78,8.35,7.01,Yes
Sooke,Victoria General Hospital,Vancouver Island,20.82,32.33,20.82,43.54,11.51,22.72,No
Bella Coola Valley,Bella Coola General Hospital,Vancouver Coastal,27.95,31.92,27.95,42.96,3.97,15.01,Yes
Qualicum Beach,West Coast General Hospital,Vancouver Island,27.76,39.66,27.76,41.42,11.9,13.66,No
Kamloops Centre North,Royal Inland Hospital,Interior,8.61,21.82,8.61,40.78,13.21,32.17,No
Prince Rupert Rural,Prince Rupert Regional Hospital,Northern,25.14,40.16,25.14,39.01,15.03,13.87,No
Gabriola Island,Nanaimo Regional General Hospital,Vancouver Island,13.71,17.89,13.71,38.66,4.18,24.95,Yes
Oceanside Rural,West Coast General Hospital,Vancouver Island,21.88,34.09,21.88,37.91,12.21,16.03,No
Quesnel Rural,G.R. Baker Memorial Hospital,Northern,22.27,30.8,22.27,35.35,8.54,13.09,Yes
Fraser Lake,Fraser Lake Community Health Centre,Northern,23.11,33.7,23.11,35.2,10.59,12.08,No
Port McNeill/Sointula,Port McNeill Hospital,Vancouver Island,7.85,11.65,7.85,33.79,3.8,25.94,Yes
Parksville,Nanaimo Regional General Hospital,Vancouver Island,28.36,32.8,28.36,33.72,4.44,5.36,Yes
South Cowichan,Saanich Peninsula Hospital,Vancouver Island,16.79,25.59,16.79,33.09,8.8,16.3,Yes
Metchosin,Victoria General Hospital,Vancouver Island,14.36,21.04,14.36,32.08,6.68,17.72,Yes
Stikine,Stikine Health Centre,Northern,40.31,30.45,40.31,31.12,-9.86,-9.19,Yes
Hope,Fraser Canyon Hospital,Fraser,22.46,27.19,22.46,29.49,4.73,7.02,Yes
Comox Valley Rural,North Island Hospital Comox Valley,Vancouver Island,14.21,22.75,14.21,29.09,8.55,14.89,Yes
Trail,Kootenay Boundary Regional Hospital,Interior,8.27,18.51,8.27,28.13,10.24,19.86,No
Ladysmith,Cowichan District Hospital,Vancouver Island,21.88,25.76,21.88,26.14,3.88,4.25,Yes
Armstrong/Spallumcheen,Vernon Jubilee Hospital,Interior,21.48,25.72,21.48,25.44,4.24,3.96,Yes
Cedar/Wellington,Nanaimo Regional General Hospital,Vancouver Island,13.95,16.25,13.95,25.24,2.3,11.28,Yes
Smithers Rural,Bulkley Valley District Hospital,Northern,9.43,11.33,9.43,25.13,1.9,15.7,Yes
West Vancouver - Upper,Lions Gate Hospital,Vancouver Coastal,10.84,20.32,10.84,24.6,9.48,13.76,Yes
Prince Rupert City Centre,Prince Rupert Regional Hospital,Northern,3.34,10.99,3.34,24.55,7.66,21.21,Yes
Lake Country,Vernon Jubilee Hospital,Interior,21.94,23.76,21.94,24.39,1.82,2.45,Yes
North Vancouver DM - Central,Lions Gate Hospital,Vancouver Coastal,4.79,9.24,4.79,24.35,4.44,19.55,Yes
Creston,Creston Valley Hospital and Health Centre,Interior,17.21,18.9,17.21,24.34,1.69,7.13,Yes
Chemainus,Cowichan District Hospital,Vancouver Island,15.9,19.77,15.9,23.41,3.87,7.5,Yes
Glenmore,Kelowna General Hospital,Interior,10.68,17.75,10.68,23.36,7.08,12.68,Yes
Central Okanagan Rural East,Kelowna General Hospital,Interior,11.08,18,11.08,23.03,6.92,11.95,Yes
Central Okanagan Rural West,Kelowna General Hospital,Interior,11.08,18,11.08,23.03,6.92,11.95,Yes
Bowen Island/Lions Bay,Lions Gate Hospital,Vancouver Coastal,17.15,24.16,17.15,22.72,7.01,5.57,Yes
Salmon Arm,Shuswap Lake General Hospital,Interior,22.86,26.81,22.86,22.34,3.95,-0.52,Yes
Port Hardy/Port Alice,Port Alice Health Centre,Vancouver Island,14.1,21.74,14.1,22.06,7.64,7.95,Yes
Upper Skeena,Wrinch Memorial Hospital,Northern,10.82,9.32,10.82,22.05,-1.51,11.23,Yes
Fernie,Elk Valley Hospital,Interior,7.94,12.81,7.94,21.55,4.87,13.61,Yes
Gibsons,Sechelt Hospital,Vancouver Coastal,16.47,20.58,16.47,20.91,4.11,4.44,Yes
East Abbotsford,Abbotsford Regional Hospital and Cancer Centre,Fraser,10.63,13.46,10.63,20.82,2.83,10.19,Yes
