ID,PO_BOX,ADDRESS_FULL,CITY,PROVINCE,POSTAL_CODE,COUNTRY,GEO_LATITUDE,GEO_LONGITUDE,HA_ID,HA_NAME,NUM_PHYSICIANS
FAM_0001,,"BURNSIDE FAMILY MEDICAL CLINIC, 2, 101 BURNSIDE RD W",VICTORIA,BC,V9A 1B7,CANADA,48.4468486,-123.3794777,4 VIHA,Vancouver Island,4
FAM_0002,,"101 BURNSIDE RD W, SUITE 4",VICTORIA,BC,V9A 1B7,CANADA,48.4468486,-123.3794777,4 VIHA,Vancouver Island,5
FAM_0003,,"102, 10183 152A ST",SURREY,BC,V3R 4H6,CANADA,49.1875031,-122.7997353,2 FHA,Fraser,3
FAM_0004,,"SUITE 302, 1101 DEWDNEY AVE",TRAIL,BC,V1R 4T1,CANADA,49.0975305,-117.7087461,1 IHA,Interior,3
FAM_0005,,"304, 1101 DEWDNEY AVE",TRAIL,BC,V1R 4T1,CANADA,49.0975305,-117.7087461,1 IHA,Interior,8
FAM_0006,PO BOX 10,"LADYSMITH FAMILY PRACTICE CLINIC, 1111 4 AVE",LADYSMITH,BC,V9G 1A1,CANADA,48.9958106,-123.8275049,4 VIHA,Vancouver Island,5
FAM_0007,,"BURRARD FAMILY MEDICINE, 500, 1144 BURRARD ST",VANCOUVER,BC,V6Z 2A5,CANADA,49.2793415,-123.1281537,3 VCHA,Vancouver Coastal,1
FAM_0008,,"202, 1193 KINGSWAY",VANCOUVER,BC,V5V 3C9,CANADA,49.2526105,-123.0802672,3 VCHA,Vancouver Coastal,16
FAM_0009,,"DRTIKHONOVA FAMILY MEDICAL CLINIC, 208, 1200 LYNN VALLEY RD",NORTH VANCOUVER,BC,V7J 2A2,CANADA,49.3360334,-123.0408014,3 VCHA,Vancouver Coastal,1
FAM_0010,,"JGM FAMILY PRACTICE CLINIC SUITE 1, 1230 ALWARD ST",PRINCE GEORGE,BC,V2M 7B1,CANADA,53.912914,-122.7661766,5 NHA,Northern,2
FAM_0011,,"1, 1230 ALWARD ST",PRINCE GEORGE,BC,V2M 7B1,CANADA,53.912914,-122.7661766,5 NHA,Northern,3
FAM_0012,,"FAMILY MEDICINE, CAPILANO MEDICAL CLINIC, 125 2 ST W, UNIT 101",NORTH VANCOUVER,BC,V7M 1C5,CANADA,49.3128439,-123.0789887,3 VCHA,Vancouver Coastal,2
FAM_0013,,"255, 1311 2 ST N",CRANBROOK,BC,V1C 3A1,CANADA,49.5128884,-115.7637975,1 IHA,Interior,8
FAM_0014,,"GEORGE ST FAMILY PRACTICE, 1, 1400 GEORGE ST",WHITE ROCK,BC,V4B 4A3,CANADA,49.0278028,-122.7993486,2 FHA,Fraser,7
FAM_0015,,"CENTRAL OKANAGAN DIVISION OF FAMILY PRACTICE, 201, 1405 ST PAUL ST",KELOWNA,BC,V1Y 2E4,CANADA,49.8886949,-119.4914197,1 IHA,Interior,1
FAM_0016,,"100, 145 15 ST W",NORTH VANCOUVER,BC,V7M 1R9,CANADA,49.3217918,-123.0744768,3 VCHA,Vancouver Coastal,3
FAM_0017,,"102, 1450 WADDINGTON RD",NANAIMO,BC,V9S 4V9,CANADA,49.1851172,-123.9624424,4 VIHA,Vancouver Island,5
FAM_0018,,"HEALTH WISE MEDICAL CLINIC, SUITE 3, 1499 GORDON DR",KELOWNA,BC,V1Y 9R2,CANADA,49.8861966,-119.4769375,1 IHA,Interior,3
FAM_0019,,1668 TAMARACK ST,PRINCE GEORGE,BC,V2L 2T3,CANADA,53.9085588,-122.7589858,5 NHA,Northern,5
FAM_0020,,"MEDI, KEL FAMILY PRACTICE & WALK IN CLINIC, 324, 101, 1865 DILWORTH DR",KELOWNA,BC,V1Y 9T1,CANADA,49.8802564,-119.4365724,1 IHA,Interior,2
FAM_0021,,"(MILL CREEK FAMILY MEDICINE OFFICE FOR MATERNITY CARE PRACTICE), 1912 ENTERPRISE WAY UNIT 101",KELOWNA,BC,V1Y 9S9,CANADA,49.8846031,-119.453776,1 IHA,Interior,7
FAM_0022,,"107, C 1966 GUTHRIE RD",COMOX,BC,V9M 0B,CANADA,49.6890343,-124.933328,,,9
FAM_0023,,"114D, 20159 88 AVE",LANGLEY,BC,V1M 0A4,CANADA,49.1649752,-122.6646057,2 FHA,Fraser,2
FAM_0024,,"GOLDEN EARS FAMILY PRACTICE, 140, 20395 LOUGHEED HWY",MAPLE RIDGE,BC,V2X 2P9,CANADA,49.2196856,-122.6557605,2 FHA,Fraser,4
FAM_0025,,"NEWPORT FAMILY PRACTICE, 310, 205 NEWPORT DR",PORT MOODY,BC,V3H 5C9,CANADA,49.2828136,-122.827467,2 FHA,Fraser,2
