SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,WEBSITE,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,CITY,POSTAL_CODE,LATITUDE,LONGITUDE,Facility,Hosp,811_LINK
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647116,17646849,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",555 Cedar Avenue S,100 Mile House,V0K 2E0,51.638711,-121.292384,100 Mile District General Hospital,708,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646849
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Health Services,"Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.",17645046,17644367,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Y,,"24 hours a day, 7 days a week",32900 Marshall Road,Abbotsford,V2S 0C2,49.038152,-122.313003,Abbotsford Regional Hospital and Cancer Centre,609,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644367
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",21397663,17647924,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",2592 Morton Road,Alexis Creek,V0L 1A0,52.085559,-123.275914,Alexis Creek Health Centre,416,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647924
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647124,17646553,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",97 1st Avenue NE,Nakusp,V0G 1R0,50.238724,-117.794638,Arrow Lakes Hospital,655,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646553
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647115,17646776,https://www.interiorhealth.ca/services/emergency-health-services,Y,,Closed weekdays. Open weekends starting at 6 pm on Friday to Monday at 8 am. Closed statutory holidays.,700 Ash-Cache Creek Highway,Ashcroft,V0K 1A0,50.734772,-121.280163,Ashcroft Hospital and Community Health Care Centre,408,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646776
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653150,17652305,https://www.northernhealth.ca/locations/hospitals,Y,,Mon 09:00 - 16:30; Tue 09:00 - 16:30; Wed 09:00 - 16:30; Thu 09:00 - 16:30; Fri 09:00 - 16:30; On-call nurse available for after-hours emergencies; closed for lunch 12:00 - 13:00,188 Discovery Avenue,Atlin,V0W 1A0,59.574828,-133.704315,Atlin Health Centre,914,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652305
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647095,17646767,https://www.interiorhealth.ca/services/emergency-health-services,Y,,Mon 08:30 - 16:30; Tue 08:30 - 16:30; Wed 08:30 - 16:30; Thu 08:30 - 16:30; Fri 08:30 - 16:30;,4537 Barriere Town Road,Barriere,V0E 1E0,51.180406,-120.125113,Barriere Health Centre,424,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646767
LD-1700,Emergency Room Care,17643939,BC Children's Hospital,17643949,Emergency Health Services,"Provides emergency medical care for children up to 16 years of age with acute medical, surgical and mental health illnesses or injuries.",52920600,52920595,http://www.bcchildrens.ca/our-services/hospital-services/emergency-services,Y,Translation services available,"24 hours a day, 7 days a week",880 West 28th Avenue,Vancouver,V5Z 4H4,49.246175,-123.121258,BC Children's Hospital,105,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17643949&SiteResourceAgencyNum=52920595
LD-1700,Emergency Room Care,17648936,Vancouver Coastal Health,17649851,Emergency Health Services,"Provides 24-hour emergency health care and trauma services in most hospital sites; operating hours may vary in rural areas. Services are prioritized based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need. Visit the ED Wait Times website to see current wait times of Vancouver, North Shore and Richmond emergency rooms.",55362737,17649124,http://www.vch.ca/your-care/emergency-care,Y,,"Open 24 hours, 7 days a week",1025 Elcho Street,Bella Coola,V0T 1C0,52.372895,-126.762576,Bella Coola General Hospital,906,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17649851&SiteResourceAgencyNum=17649124
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647136,17647135,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",7649 22nd Street,Grand Forks,V0H 1H2,49.030363,-118.467838,Boundary District Hospital,803,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647135
